TStamp	X	Y	Z
1613754845390	-0.117538	-0.001083	9.822830
1613754845392	-0.107971	-0.008255	9.834793
1613754845394	-0.122314	-0.008255	9.822830
1613754845397	-0.131897	-0.013046	9.834793
1613754845399	-0.143860	-0.008255	9.815659
1613754845401	-0.129501	-0.015442	9.806091
1613754845404	-0.095993	0.001312	9.832397
1613754845406	-0.117538	-0.005859	9.834793
1613754845409	-0.143860	-0.015442	9.822830
1613754845411	-0.112747	0.001312	9.815659
1613754845413	-0.127106	0.001312	9.841980
1613754845416	-0.129501	-0.013046	9.830017
1613754845418	-0.127106	-0.008255	9.810867
1613754845421	-0.117538	-0.027405	9.822830
1613754845423	-0.131897	-0.008255	9.830017
1613754845425	-0.122314	-0.022614	9.820435
1613754845428	-0.107971	0.001312	9.810867
1613754845430	-0.110352	-0.020218	9.825226
1613754845432	-0.110352	0.001312	9.822830
1613754845435	-0.119934	-0.015442	9.818054
1613754845437	-0.127106	0.001312	9.806091
1613754845440	-0.112747	-0.005859	9.832397
1613754845442	-0.107971	0.006104	9.808472
1613754845444	-0.134293	-0.010651	9.830017
1613754845447	-0.139069	0.008499	9.851547
1613754845449	-0.124710	-0.008255	9.837189
1613754845451	-0.124710	-0.013046	9.808472
1613754845454	-0.115143	-0.022614	9.813263
1613754845456	-0.117538	-0.010651	9.837189
1613754845459	-0.110352	-0.020218	9.820435
1613754845461	-0.131897	-0.017822	9.801300
1613754845463	-0.134293	-0.008255	9.825226
1613754845466	-0.107971	-0.020218	9.841980
1613754845468	-0.124710	-0.005859	9.825226
1613754845470	-0.134293	-0.008255	9.825226
1613754845473	-0.124710	0.003708	9.827621
1613754845475	-0.124710	-0.001083	9.834793
1613754845478	-0.117538	-0.001083	9.841980
1613754845480	-0.141464	0.013275	9.813263
1613754845482	-0.136673	-0.008255	9.808472
1613754845485	-0.129501	-0.003464	9.808472
1613754845487	-0.117538	0.013275	9.853943
1613754845490	-0.134293	0.003708	9.834793
1613754845492	-0.124710	-0.005859	9.803696
1613754845494	-0.115143	0.010880	9.818054
1613754845497	-0.127106	-0.020218	9.815659
1613754845499	-0.129501	-0.008255	9.851547
1613754845501	-0.129501	-0.010651	9.827621
1613754845504	-0.122314	-0.005859	9.820435
1613754845506	-0.122314	0.001312	9.834793
1613754845509	-0.134293	-0.008255	9.825226
1613754845511	-0.115143	-0.001083	9.820435
1613754845513	-0.129501	0.010880	9.839584
1613754845516	-0.117538	-0.005859	9.822830
1613754845518	-0.119934	0.003708	9.801300
1613754845520	-0.124710	0.006104	9.808472
1613754845523	-0.129501	-0.013046	9.827621
1613754845525	-0.136673	-0.008255	9.849152
1613754845528	-0.112747	-0.003464	9.806091
1613754845530	-0.131897	-0.022614	9.822830
1613754845532	-0.127106	-0.008255	9.820435
1613754845535	-0.131897	0.001312	9.820435
1613754845537	-0.124710	-0.003464	9.825226
1613754845539	-0.129501	0.008499	9.839584
1613754845542	-0.112747	-0.008255	9.822830
1613754845544	-0.139069	-0.008255	9.801300
1613754845547	-0.134293	-0.003464	9.832397
1613754845549	-0.112747	0.006104	9.834793
1613754845551	-0.122314	-0.008255	9.806091
1613754845554	-0.124710	-0.015442	9.832397
1613754845556	-0.139069	0.006104	9.832397
1613754845559	-0.115143	-0.010651	9.830017
1613754845561	-0.112747	0.008499	9.818054
1613754845563	-0.129501	0.006104	9.820435
1613754845566	-0.117538	-0.013046	9.820435
1613754845568	-0.115143	-0.015442	9.820435
1613754845570	-0.129501	0.013275	9.803696
1613754845573	-0.117538	0.010880	9.841980
1613754845575	-0.122314	0.010880	9.825226
1613754845578	-0.136673	-0.027405	9.818054
1613754845580	-0.124710	-0.008255	9.841980
1613754845582	-0.136673	-0.013046	9.839584
1613754845585	-0.110352	-0.001083	9.818054
1613754845587	-0.119934	-0.005859	9.827621
1613754845589	-0.141464	0.003708	9.830017
1613754845592	-0.131897	-0.013046	9.798904
1613754845594	-0.124710	-0.008255	9.808472
1613754845597	-0.107971	-0.015442	9.827621
1613754845599	-0.131897	-0.008255	9.820435
1613754845601	-0.127106	-0.003464	9.825226
1613754845604	-0.124710	-0.013046	9.820435
1613754845606	-0.124710	-0.001083	9.815659
1613754845608	-0.131897	0.008499	9.825226
1613754845611	-0.129501	-0.005859	9.849152
1613754845613	-0.143860	0.010880	9.808472
