TStamp	X	Y	Z
1613754860550	-0.110886	0.263107	-0.096466
1613754860552	-0.066910	0.230103	-0.098907
1613754860554	-0.022934	0.197128	-0.101349
1613754860557	0.023499	0.161682	-0.102570
1613754860559	0.071136	0.125031	-0.103790
1613754860561	0.113876	0.084717	-0.106232
1613754860564	0.156647	0.048065	-0.109894
1613754860566	0.203079	0.015091	-0.109894
1613754860569	0.239731	-0.019104	-0.113556
1613754860571	0.275146	-0.048431	-0.114792
1613754860573	0.309357	-0.076523	-0.117233
1613754860576	0.341125	-0.098511	-0.118454
1613754860578	0.366776	-0.120514	-0.120895
1613754860580	0.388779	-0.135162	-0.120895
1613754860583	0.407104	-0.141281	-0.120895
1613754860585	0.421753	-0.147385	-0.122116
1613754860588	0.427872	-0.148605	-0.123337
1613754860590	0.437637	-0.147385	-0.119675
1613754860592	0.440094	-0.146164	-0.115997
1613754860595	0.437637	-0.143723	-0.115997
1613754860597	0.430313	-0.142502	-0.112335
1613754860600	0.424210	-0.142502	-0.108673
1613754860602	0.413208	-0.143723	-0.105011
1613754860604	0.399765	-0.147385	-0.098907
1613754860607	0.383881	-0.148605	-0.090347
1613754860609	0.364334	-0.153488	-0.081802
1613754860611	0.344803	-0.157166	-0.070801
1613754860614	0.320358	-0.165710	-0.062256
1613754860616	0.298355	-0.166931	-0.050034
1613754860619	0.272705	-0.174255	-0.036591
1613754860621	0.243378	-0.182816	-0.025589
1613754860623	0.212845	-0.192581	-0.012161
1613754860626	0.184738	-0.201141	0.004944
1613754860628	0.152985	-0.208466	0.020813
1613754860630	0.119995	-0.219467	0.034256
1613754860633	0.087021	-0.228027	0.051346
1613754860635	0.055267	-0.239029	0.066010
1613754860638	0.022263	-0.248795	0.083115
1613754860640	-0.008270	-0.259796	0.098999
1613754860642	-0.041260	-0.272003	0.116104
1613754860645	-0.070587	-0.283005	0.130768
1613754860647	-0.095001	-0.295212	0.146637
1613754860649	-0.124329	-0.303772	0.162521
1613754860652	-0.146332	-0.315979	0.178406
1613754860654	-0.174423	-0.325760	0.190613
1613754860657	-0.195190	-0.335526	0.204056
1613754860659	-0.214752	-0.341644	0.216293
1613754860661	-0.235519	-0.350189	0.227295
1613754860664	-0.253845	-0.357529	0.237061
1613754860666	-0.267273	-0.363632	0.248062
1613754860669	-0.277054	-0.367294	0.260269
1613754860671	-0.285599	-0.372177	0.270035
1613754860673	-0.290482	-0.377060	0.281036
1613754860676	-0.292923	-0.381958	0.289597
1613754860678	-0.292923	-0.388062	0.296921
1613754860680	-0.291718	-0.394180	0.305481
1613754860683	-0.283157	-0.397827	0.314026
1613754860685	-0.274612	-0.400284	0.321350
1613754860688	-0.269714	-0.405182	0.326248
1613754860690	-0.258728	-0.403946	0.333572
1613754860692	-0.248947	-0.400284	0.339676
1613754860695	-0.237961	-0.397827	0.345795
1613754860697	-0.226959	-0.395386	0.351898
1613754860699	-0.215958	-0.390503	0.355560
1613754860702	-0.200073	-0.381958	0.361664
1613754860704	-0.190308	-0.379517	0.362885
1613754860707	-0.175659	-0.368515	0.367783
1613754860709	-0.162216	-0.362411	0.372665
1613754860711	-0.146332	-0.353851	0.378769
1613754860714	-0.132889	-0.342865	0.382446
1613754860716	-0.123123	-0.333084	0.383652
1613754860718	-0.109680	-0.322098	0.386093
1613754860721	-0.101120	-0.315979	0.388550
1613754860723	-0.086472	-0.302551	0.390991
1613754860726	-0.079132	-0.296448	0.393433
1613754860728	-0.074234	-0.290329	0.393433
1613754860730	-0.068130	-0.283005	0.392212
1613754860733	-0.064468	-0.280563	0.392212
1613754860735	-0.057144	-0.274445	0.390991
1613754860738	-0.055908	-0.272003	0.388550
1613754860740	-0.055908	-0.268326	0.387329
1613754860742	-0.055908	-0.267120	0.382446
1613754860745	-0.059586	-0.265884	0.377548
1613754860747	-0.063248	-0.263443	0.372665
1613754860749	-0.069351	-0.267120	0.364120
1613754860752	-0.071793	-0.265884	0.359222
1613754860754	-0.077911	-0.269562	0.350677
1613754860757	-0.082794	-0.270782	0.342117
1613754860759	-0.088913	-0.274445	0.333572
1613754860761	-0.090118	-0.275681	0.325012
1613754860764	-0.098679	-0.280563	0.315247
1613754860766	-0.103561	-0.286667	0.304245
1613754860768	-0.101120	-0.289108	0.294479
1613754860771	-0.104797	-0.296448	0.284714
1613754860773	-0.106003	-0.303772	0.276154
1613754860776	-0.104797	-0.311096	0.263947
1613754860778	-0.099899	-0.315979	0.256592
1613754860780	-0.099899	-0.320877	0.244385
1613754860783	-0.096237	-0.322098	0.234619
1613754860785	-0.085236	-0.318420	0.227295
1613754860787	-0.081573	-0.314758	0.215057
1613754860790	-0.077911	-0.309875	0.204056
1613754860792	-0.068130	-0.303772	0.194290
1613754860795	-0.058365	-0.293991	0.185730
1613754860797	-0.052246	-0.286667	0.175964
1613754860799	-0.044922	-0.274445	0.167404
1613754860802	-0.031479	-0.259796	0.161316
1613754860804	-0.020493	-0.246353	0.155197
1613754860807	-0.011932	-0.235352	0.150314
1613754860809	0.000290	-0.218262	0.142990
1613754860811	0.005173	-0.203583	0.136871
1613754860814	0.008835	-0.190140	0.131989
1613754860816	0.019821	-0.173050	0.130768
1613754860818	0.027161	-0.158371	0.130768
1613754860821	0.029602	-0.146164	0.130768
1613754860823	0.030823	-0.133957	0.133209
1613754860826	0.029602	-0.121735	0.136871
1613754860828	0.023499	-0.109512	0.141754
1613754860830	0.017380	-0.093628	0.147873
1613754860833	0.006393	-0.082642	0.155197
