OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
H-2A R/B,2006-002B,2022-02-24T16:57:24.801984,14.93002573,.0088744,98.3073,91.9885,101.5251,12.6074,0,U,28932,999,87321,.92128E-4,.964E-5,0
AKARI (ASTRO-F),2006-005A,2022-02-25T10:13:15.020256,15.41046644,.0077813,98.2118,115.6029,314.5050,44.9851,0,U,28939,999,87582,.24298E-3,.11075E-3,0
RESURS-DK 1,2006-021A,2022-02-24T22:48:45.453312,15.02937263,.0007481,69.9346,55.6620,249.2268,110.8091,0,U,29228,999,86547,.5132E-4,.592E-5,0
GENESIS 1,2006-029A,2022-02-24T18:28:47.822016,15.19609622,.006057,64.5221,80.8440,278.6944,80.7322,0,U,29252,999,86184,.14158E-3,.2958E-4,0
CZ-4B R/B,2006-046C,2022-02-24T15:38:31.974144,15.01333539,.0046749,97.7381,86.1925,243.1006,116.5437,0,U,29507,999,83794,.11162E-4,.82E-6,0
CZ-2C R/B,2007-010B,2022-02-25T11:20:49.714368,14.19396734,.0058553,98.2321,237.3945,264.5256,94.9240,0,U,31114,999,77068,.77355E-4,.125E-5,0
COSMO-SKYMED 1,2007-023A,2022-02-25T11:15:55.600992,14.82153128,.000129,97.8847,241.7423,91.2115,268.9319,0,U,31598,999,79637,.1126E-3,.844E-5,0
GENESIS 2,2007-028A,2022-02-25T11:41:23.025984,15.18565234,.0034587,64.4965,121.3919,333.0930,26.8398,0,U,31789,999,80895,.1042E-3,.1984E-4,0
COSMOS 2428,2007-029A,2022-02-25T09:17:43.404288,14.12472321,.0010335,70.9328,54.8661,231.6913,128.3280,0,U,31792,999,75610,.20642E-3,.334E-5,0
SL-16 R/B,2007-029B,2022-02-25T09:05:37.343616,14.14466879,.0002296,70.9778,28.3011,277.2954,192.6788,0,U,31793,999,75710,-.53421E-4,-.15E-5,0
KORONAS-FOTON,2009-003A,2022-02-25T02:53:44.274048,15.16549664,.0017337,82.4438,327.9115,304.3179,55.6412,0,U,33504,999,72106,.68121E-4,.1364E-4,0
